DATASET_CONNECTION
SEPARATOR TAB
DATASET_LABEL	class_arrows
COLOR	#ff0000
ALIGN_TO_LABELS,1
CENTER_CURVES,1
CENTER_CURVES,1
DATA
A0A078AII6	A0A078ARQ6	2	#5b2e57	dashed	Spirotrichea
A0A137NPV3	A0A137P4M5	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P649	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P667	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P762	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P7E0	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P7Q8	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P8T8	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PAT2	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PAW4	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PC40	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PC55	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PC66	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PC75	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PC76	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PDD6	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PEX6	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PEX7	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PFI2	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PGY5	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PJ00	2	#4924ad	dashed	Entomophthoromycetes
A0A137NPV3	A0A137PJ55	2	#4924ad	dashed	Entomophthoromycetes
A0A167H3K1	A0A167J7M6	2	#04c4bc	dashed	Dacrymycetes
A0A167H3K1	A0A167MK44	2	#04c4bc	dashed	Dacrymycetes
A0A0X3NRP7	A0A183TCN8	2	#5583e9	dashed	Cestoda
A0A1B8G8M9	A0A1B8GPV7	2	#f59b27	dashed	Leotiomycetes
A0A1B8G8M9	A0A1B8GTG5	2	#f59b27	dashed	Leotiomycetes
A0A1I8GLN0	A0A1I8I6W4	2	#d07817	dashed	Rhabditophora
A0A1I8GLN0	A0A1I8IJ91	2	#d07817	dashed	Rhabditophora
A0A1I8GLN0	A0A1I8J0F5	2	#d07817	dashed	Rhabditophora
A0A0H5S2I7	A0A1I9G609	2	#fed218	dashed	Chromadorea
A0A0H5S2I7	A0A1I9G629	2	#fed218	dashed	Chromadorea
A0A1J9QJX4	A0A1J9QQD4	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9QXP9	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9R1M8	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9R2U7	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9R915	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9RDU7	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9RG32	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9RHE1	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9RTH1	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9RWN6	2	#085872	dashed	Dothideomycetes
A0A1J9QJX4	A0A1J9S725	2	#085872	dashed	Dothideomycetes
A0A1L8FPX0	A0A1L8FPY5	2	#0f9a18	dashed	Amphibia
A0A1L8FPX0	A0A1L8HAY8	2	#0f9a18	dashed	Amphibia
A0A1L8FPX0	A0A1L8HHA8	2	#0f9a18	dashed	Amphibia
A0A1L8FPX0	A0A1L8HNZ5	2	#0f9a18	dashed	Amphibia
A0A1S3H960	A0A1S3HAX8	2	#8d3f8d	dashed	Lingulata
A0A1S3H960	A0A1S3HNS5	2	#8d3f8d	dashed	Lingulata
A0A1S3H960	A0A1S3I9L8	2	#8d3f8d	dashed	Lingulata
A0A1S3H960	A0A1S3IIA6	2	#8d3f8d	dashed	Lingulata
A0A1U7LR42	A0A1U7LR76	2	#cfb56c	dashed	Neolectomycetes
A0A1Y1HT28	A0A1Y1HVY3	2	#6240d4	dashed	Klebsormidiophyceae
A0A1Y1WUU7	A0A1Y1WXW1	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1X7W0	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XAL5	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XFV3	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XLK1	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XM11	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XU76	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XUF9	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XUN2	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1XZB8	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y0G3	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y162	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y3B8	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y3H3	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y511	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Y750	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1YBC0	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1YDM8	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1YHD6	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Z2V1	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Z3P8	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Z4N2	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1Z697	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1ZAQ2	2	#f7d832	dashed	Basidiobolomycetes
A0A1Y1WUU7	A0A1Y1ZC58	2	#f7d832	dashed	Basidiobolomycetes
A0A1I8GLN0	A0A267G1D3	2	#d07817	dashed	Rhabditophora
A0A2G5BCT7	A0A2G5BCT9	2	#c2e13d	dashed	Kickxellomycetes
A0A2G5BCT7	A0A2G5BCU3	2	#c2e13d	dashed	Kickxellomycetes
A0A2G5BCT7	A0A2G5BDP2	2	#c2e13d	dashed	Kickxellomycetes
A0A2G5BCT7	A0A2G5BJJ6	2	#c2e13d	dashed	Kickxellomycetes
A0A2G5BCT7	A0A2G5BJJ9	2	#c2e13d	dashed	Kickxellomycetes
A0A2G5BCT7	A0A2G5BJN3	2	#c2e13d	dashed	Kickxellomycetes
A0A2K1IGC8	A0A2K1IK82	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1IZ55	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1J0S4	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1J162	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1JC20	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1JC22	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1K1L4	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1K363	2	#7988af	dashed	Bryopsida
A0A2K1IGC8	A0A2K1KIQ0	2	#7988af	dashed	Bryopsida
A0A1B8G8M9	A0A2P2SVS2	2	#f59b27	dashed	Leotiomycetes
A0A1B8G8M9	A0A2P2SYW5	2	#f59b27	dashed	Leotiomycetes
A0A2P5HMR1	A0A2P5HS54	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5HSA0	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5HUK7	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5HWP3	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5HZG8	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I1S1	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I2V9	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I389	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I525	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I970	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5I9R7	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5IBH4	2	#aeb2aa	dashed	Sordariomycetes
A0A2P5HMR1	A0A2P5IEE2	2	#aeb2aa	dashed	Sordariomycetes
A0A2P6U0E0	A0A2P6U1N3	2	#72ce87	dashed	Trebouxiophyceae
A0A1S3H960	A0A2R2MNF5	2	#8d3f8d	dashed	Lingulata
A0A1S3H960	A0A2R2MPF3	2	#8d3f8d	dashed	Lingulata
A0A2R6VXF9	A0A2R6VXM9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VYL4	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VYW6	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZB5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZE8	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZG6	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZH5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZH9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZK5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZL5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6VZL9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W043	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W061	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W0C7	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5A5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5B2	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5V6	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5W2	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5W5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W5W8	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6W7E7	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WA01	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WA03	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WAX7	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WCK4	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WDA8	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WF97	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WG95	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WH64	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WJJ9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WKW3	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WMN0	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6WNN9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X2S1	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3F1	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3F7	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3G4	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3H0	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3H8	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X3Y2	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X796	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6X7A4	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XBI1	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XDH5	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XDH6	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XDH9	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XDI4	2	#b82339	dashed	Marchantiopsida
A0A2R6VXF9	A0A2R6XWE1	2	#b82339	dashed	Marchantiopsida
A0A2T9J0L0	A0A2T9JKS7	2	#1286c5	dashed	Alphaproteobacteria
A0A2T9J0L0	A0A2T9KBT8	2	#1286c5	dashed	Alphaproteobacteria
A0A2T9Y0C2	A0A2T9Y5C0	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9Y7Q6	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9YL16	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9YZI7	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9Z3X5	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9Z5Q6	2	#042548	dashed	Harpellomycetes
A0A2T9Y0C2	A0A2T9Z5R5	2	#042548	dashed	Harpellomycetes
A0A2V3IRL0	A0A2V3ITQ3	2	#4b1c4d	dashed	Florideophyceae
A0A2V3IRL0	A0A2V3J6W0	2	#4b1c4d	dashed	Florideophyceae
A0A0N7H8Q0	A0A378U9W3	2	#c7f4ec	dashed	Actinomycetia
A0A397S017	A0A397SZQ9	2	#8b4033	dashed	Glomeromycetes
A0A0G4IPB5	A0A3P3YML5	2	#4d1d2a	dashed	Phytomyxea
A0A436ZMN6	A0A436ZMY2	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A436ZW26	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A436ZW36	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A436ZY08	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A436ZY67	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437A308	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437A7Y6	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437ABS8	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437ABU9	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437ACI9	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437ACP0	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437AD99	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437AEF9	2	#7cf179	dashed	Orbiliomycetes
A0A436ZMN6	A0A437AF91	2	#7cf179	dashed	Orbiliomycetes
A0A0H5S2I7	A0A4E9F741	2	#fed218	dashed	Chromadorea
A0A0H5S2I7	A0A4E9F948	2	#fed218	dashed	Chromadorea
A0A0H5S2I7	A0A4E9FH29	2	#fed218	dashed	Chromadorea
A0A0H5S2I7	A0A4E9FIB1	2	#fed218	dashed	Chromadorea
A0A4P9XGI5	A0A4P9XHR6	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XIM0	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XL19	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XL46	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XLD8	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XLI7	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XMQ7	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XMV3	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XST4	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XST5	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XSU6	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XSV5	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XTI0	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XTP8	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XTQ3	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XUT0	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XUV9	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4P9XVI9	2	#269c25	dashed	Zoopagomycetes
A0A4P9ZNY3	A0A4P9ZSR0	2	#fa833e	dashed	Dimargaritomycetes
A0A4P9ZNY3	A0A4P9ZTR7	2	#fa833e	dashed	Dimargaritomycetes
A0A4P9ZNY3	A0A4P9ZUL5	2	#fa833e	dashed	Dimargaritomycetes
A0A4P9ZNY3	A0A4P9ZVA0	2	#fa833e	dashed	Dimargaritomycetes
A0A4S2KZB5	A0A4S2LAY3	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LAY4	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LBG9	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LBJ8	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LBN1	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LES6	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LF11	2	#1e9c6b	dashed	Trematoda
A0A4S2KZB5	A0A4S2LJ85	2	#1e9c6b	dashed	Trematoda
A0A4S2MHI4	A0A4S2MK96	2	#e7e67f	dashed	Pezizomycetes
A0A4S2MHI4	A0A4S2MM39	2	#e7e67f	dashed	Pezizomycetes
A0A4S2MHI4	A0A4S2MMJ0	2	#e7e67f	dashed	Pezizomycetes
A0A4S2MHI4	A0A4S2MRG4	2	#e7e67f	dashed	Pezizomycetes
A0A4S2MHI4	A0A4S2MTZ1	2	#e7e67f	dashed	Pezizomycetes
A0A4S2MHI4	A0A4S2N177	2	#e7e67f	dashed	Pezizomycetes
A0A4P9XGI5	A0A4V1IWY8	2	#269c25	dashed	Zoopagomycetes
A0A4P9XGI5	A0A4V1IX23	2	#269c25	dashed	Zoopagomycetes
A0A4P9ZNY3	A0A4V1J5M0	2	#fa833e	dashed	Dimargaritomycetes
A0A4W3I0J5	A0A4W3I0L0	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I463	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I5I7	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I5L1	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I5Q3	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I5Q9	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I8Z7	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I926	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I954	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3I973	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3ICV8	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3IEG1	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3IN19	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3INF1	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3INV9	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3INW1	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3IPU9	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3ISX3	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3ISZ4	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3IXA9	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3J2P3	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3J2R9	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3JJW4	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3JJY3	2	#bd46c3	dashed	Chondrichthyes
A0A4W3I0J5	A0A4W3JK65	2	#bd46c3	dashed	Chondrichthyes
A0A5B0M872	A0A5B0M9P8	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0MBJ1	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0MIJ7	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0MLF7	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0MSQ2	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0PAK7	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0PDE5	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0PE42	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0PKD0	2	#01c416	dashed	Pucciniomycetes
A0A5B0M872	A0A5B0S431	2	#01c416	dashed	Pucciniomycetes
A0A0H5S2I7	A0A5S6P9F5	2	#fed218	dashed	Chromadorea
A0A6I9QIW5	A0A6I9QKC4	2	#688132	dashed	Magnoliopsida
A0A6I9QIW5	A0A6I9QKJ4	2	#688132	dashed	Magnoliopsida
A0A6I9QIW5	A0A6I9RDH9	2	#688132	dashed	Magnoliopsida
A0A6I9QIW5	A0A6I9RIE5	2	#688132	dashed	Magnoliopsida
A0A6J0SQE0	A0A6J0SW19	2	#b259f2	dashed	Lepidosauria
A0A6J0SQE0	A0A6J0V519	2	#b259f2	dashed	Lepidosauria
A0A6J3E978	A0A6J3EJK3	2	#0ed4b2	dashed	Aves
A0A6J3E978	A0A6J3ELG3	2	#0ed4b2	dashed	Aves
A0A6P4XRW3	A0A6P4Y7G1	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P4YGM5	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P4YP62	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P4YV80	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P4ZCR3	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P4ZW15	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P5A764	2	#977168	dashed	Leptocardii
A0A6P4XRW3	A0A6P5AGC0	2	#977168	dashed	Leptocardii
A0A6P7LD16	A0A6P7LE96	2	#4f3ccc	dashed	Actinopteri
A0A6P7LD16	A0A6P7LXQ7	2	#4f3ccc	dashed	Actinopteri
A0A6P7LD16	A0A6P7LYR8	2	#4f3ccc	dashed	Actinopteri
A0A6P7LD16	A0A6P7NI18	2	#4f3ccc	dashed	Actinopteri
A0A6P7LD16	A0A6P7PDL3	2	#4f3ccc	dashed	Actinopteri
A0A6P7LD16	A0A6P7PG57	2	#4f3ccc	dashed	Actinopteri
A0A6P7S550	A0A6P7S5R8	2	#fa7f30	dashed	Cephalopoda
A0A6P7S550	A0A6P7S5V1	2	#fa7f30	dashed	Cephalopoda
